SKU,QTY,Cost
XXX11766013,1.0,10.167888
XXX1178BS,1.0,6.25
XXX118108J102,2.0,4.39
XXX118839600B,10.0,10.57
XXX12001192BEUR,1.0,9.87
XXX12003NE,3.0,148.77
XXX12007EUR,2.0,26.49
XXX12011364,1.0,5.93
XXX12018001BEUR,1.0,4.51
XXX1203041,2.0,35.8
XXX1203933,1.0,12.0
XXX120988,1.0,2.17
XXX12124EUR,1.0,6.91
XXX12162169,2.0,20.0
XXX121928,71.0,0.98
XXX12200411,1.0,75.0
XXX123021,4.0,29.723262
XXX1230435,1.0,40.0
XXX1230604,1.0,11.67
XXX12342,16.0,3.91
XXX12342PRC2EUR,2.0,5.09
XXX12345982,13.0,7.46
XXX1236,1.0,103.36
XXX12413103,2.0,3.01
XXX1245402044EUR,1.0,62.79
XXX12463090,3.0,14.63
XXX12474041,1.0,37.07
XXX12474945,1.0,35.0
XXX12479020,1.0,25.82
XXX12479179,4.0,6.67
XXX125-3280,3.0,19.8138
XXX12501,1.0,76.8
XXX12559890,1.0,17.05
XXX12562369,2.0,4.12
XXX12569224,1.0,23.876129
XXX12569484,1.0,4.82
XXX12570,2.0,2.341482
XXX12571725,1.0,37.95
XXX12589478,1.0,8.21
XXX12606127,1.0,500.0
XXX12623308,1.0,5.41
XXX12623513,1.0,15.98
XXX12686894,1.0,110.98
XXX12703608,1.0,89.42
XXX1270529EUR,1.0,9.72
XXX1273,1.0,1.25
XXX12762671,2.0,37.09
XXX128KIT,1.0,0.0
XXX129-09-902,1.0,10.819496
XXX129030EUR,1.0,2.2
XXX12961B2,1.0,2.02
XXX12B,1.0,5.12
XXX12F46,1.0,3.98
XXX12TH10E,1.0,5.91
XXX12V5W1X9SET,2.0,1.015
XXX130072,3.0,12.55
XXX13008,2.0,1.9
XXX13009,1.0,3.88
XXX1301310,3.0,43.48
XXX13022400,4.0,2.04
XXX13030,1.0,25.36
XXX13066042,1.0,97.464673
XXX13098,2.0,48.91
XXX13202JG30D,3.0,119.85
XXX1321240,1.0,4.59
XXX1321293,1.0,6.92
XXX1321313,2.0,9.67
XXX1321352,1.0,12.21
XXX1321356,1.0,9.39
XXX132973,1.0,66.01
XXX133115EUR,1.0,163.9
XXX13318003,1.0,26.87
XXX13318008,2.0,15.868292
XXX13351,1.0,106.86
XXX13356,1.0,2.93
XXX13359,1.0,7.49
XXX1336Y2EUR,1.0,23.88
XXX133867802044,1.0,21.09
XXX1338691080EUR,2.0,13.45
XXX133870190433,1.0,966.637867
XXX133965280758,1.0,12.61
XXX13399,2.0,5.57
XXX13399Q,1.0,10.0
XXX134549315363,1.0,12.1
XXX1346,1.0,20.0
XXX13503,2.0,10.77
XXX13504030,2.0,1.16
XXX1350504,1.0,23.62
XXX1353,1.0,135.7
XXX13540600,4.0,82.84
XXX13581561,4.0,8.204629
XXX1358899,1.0,2.06
XXX13661003,1.0,45.5
XXX13690,2.0,2.66
XXX13718512439EUR,2.0,8.0
XXX13775,10.0,25.64
XXX13778,1.0,4.3
XXX13779,7.0,4.815182
XXX13789,1.0,5.48
XXX13868,1.0,5.85
XXX13869,6.0,3.02
XXX13908,8.0,0.49
XXX14,10.0,2.32
XXX14-1179,1.0,33.42
XXX14-1241,4.0,23.1
XXX14-1254,2.0,29.94
XXX14-1257,1.0,27.24
XXX14-1266,2.0,33.93
XXX14-1268,1.0,16.11378
XXX14012746,2.0,9.36
XXX14019009,1.0,1.93
XXX14027938,2.0,17.11
XXX14041,4.0,6.198813
XXX14044,26.0,14.68
XXX14044C,3.0,6.67
XXX14058,1.0,7.81
XXX14062298,1.0,2.37
XXX14074,1.0,51.23
XXX14078,2.0,12.57
XXX1411638,1.0,13.0
XXX14119,2.0,5.9
XXX141204,1.0,22.6
XXX141206,1.0,14.58
XXX141208,2.0,16.82
XXX141209,1.0,17.29
XXX141240,4.0,18.944428
XXX14125091,1.0,13.67
XXX141256,2.0,24.86
XXX141257,6.0,12.91
XXX141259,2.0,11.63
XXX141260,1.0,9.45
XXX141268,2.0,30.3
XXX14128,2.0,12.43
XXX14130,21.0,2.487038
XXX14137A,1.0,4.74
XXX14138,3.0,7.63
XXX141544,1.0,28.61
XXX14155,9.0,2.201692
XXX14162,5.0,1.3
XXX14162K,4.0,5.200494
XXX14163,20.0,1.7
XXX14166,10.0,0.66
XXX14166017,1.0,19.29
XXX14166018,1.0,19.37
XXX14167,2.0,3.35
XXX14169,8.0,3.63454
XXX14178,15.0,4.1
XXX14181,6.0,3.06
XXX14187,3.0,1.992007
XXX14190,10.0,2.69
XXX14191,4.0,2.92394
XXX14197,5.0,2.32
XXX14198,10.0,3.156924
XXX14209,14.0,2.8179
XXX14217,2.0,2.446325
XXX14228,1.0,18.73
XXX14240,16.0,2.318184
XXX14243,2.0,3.34
XXX14248,2.0,5.33
XXX14255,5.0,3.33
XXX14257,4.0,3.145275
XXX14263,2.0,3.3
XXX14269,5.0,2.807449
XXX14274,4.0,3.36
XXX14275,1.0,2.644361
XXX14287,4.0,3.2
XXX14288K,2.0,2.84
XXX14297,8.0,2.399728
XXX14298,8.0,4.45
XXX14299,6.0,2.83
XXX143092,1.0,23.9
XXX1431134,1.0,4.5
XXX143366,1.0,25.077232
XXX14344064,2.0,3.83
XXX14349,4.0,1.967437
XXX14358,3.0,3.28
XXX14361003,1.0,4.92
XXX14361033,1.0,2.06
XXX14362043,1.0,4.49
XXX14363029,3.0,4.09
XXX14365017,1.0,3.57
XXX14365024,2.0,5.5
XXX14366002,2.0,9.24
XXX14367005,2.0,4.32
XXX14367013,1.0,4.03
XXX14399,1.0,16.31
XXX144011525305,1.0,23.07
XXX144894,1.0,8.69
XXX1453914A,2.0,45.02
XXX14545001,2.0,5.41
XXX145456,2.0,21.0
XXX145521,16.0,21.95
XXX145527,2.0,23.23
XXX14554002,4.0,8.32
XXX14557,6.0,1.43
XXX14557004,4.0,8.72
XXX14643024,3.0,24.0
XXX14643033,4.0,12.43
XXX14644001,1.0,8.03
XXX14645005,1.0,33.79
XXX14645007,6.0,9.7
XXX14648042,2.0,13.0
XXX14657032,4.0,12.31
XXX14698,5.0,2.637202
XXX14789,1.0,12.08
XXX14797,1.0,6.365615
XXX14942,1.0,15.32
XXX14948,1.0,9.336911
XXX14C16,3.0,2.66
XXX14C18,4.0,2.53
XXX14TIPMK,2.0,11.71
XXX15001,1.0,62.55
XXX15037,1.0,4.6
XXX15039,10.0,1.444496
XXX15053317,1.0,36.299886
XXX15058031,1.0,4.44
XXX15058323,1.0,7.55
XXX15058324,1.0,7.55
XXX15058325,1.0,4.44
XXX15058326,1.0,4.44
XXX15058327,1.0,5.33
XXX15058328,1.0,5.33
XXX15058329,1.0,5.33
XXX15058330,1.0,5.33
XXX15058700,2.0,3.3
XXX1506397,1.0,3.55
XXX15072,5.0,1.25811
XXX15082974,2.0,59.97
XXX15082975,2.0,36.9
XXX15111,1.0,5.68
XXX15112,1.0,5.82
XXX15122,1.0,4.83
XXX15124,3.0,17.425784
XXX15125,4.0,1.9
XXX15139168,1.0,141.18
XXX15148,1.0,14.3
XXX15163,2.0,10.0
XXX15163532,1.0,12.36
XXX15183,2.0,1.281408
XXX151PG,1.0,21.07
XXX152007,2.0,14.68
XXX1520130,1.0,16.88
XXX15201933,2.0,14.04
XXX15212141-CV,1.0,29.958682
XXX15228,9.0,1.083372
XXX15228F,3.0,3.58
XXX15247800,1.0,17.0
XXX15259,1.0,18.93
XXX15261,3.0,2.66
XXX15280,6.0,1.409549
XXX15282,1.0,54.91
XXX15289,13.0,3.4
XXX15290,14.0,1.74
XXX15304,2.0,5.55
XXX15312,2.0,3.704435
XXX15319,4.0,7.02
XXX1532896466626,1.0,131.809791
XXX15331,2.0,6.28
XXX15339,4.0,2.16
XXX153667000B,2.0,87.3
XXX15380AP,1.0,1.91
XXX15391,4.0,1.665831
XXX15410D,1.0,35.15
XXX15415,2.0,3.56
XXX15443,4.0,1.724076
XXX15525,1.0,8.12
XXX1555A185,1.0,7.05
XXX15590788,8.0,8.86
XXX156,1.0,29.44
XXX15625,3.0,7.6
XXX1562716,1.0,60.25
XXX15706324,1.0,18.83
XXX15714661,10.0,2.74
XXX15733533,1.0,1.0
XXX15782398,1.0,14.0
XXX15783030,1.0,19.09
XXX15816927,1.0,14.21
XXX15866,2.0,4.0
XXX15868120,4.0,20.85
XXX1590213,1.0,44.69
XXX15907251,2.0,76.08
XXX15914686,1.0,233.1
XXX15942195,2.0,30.529617
XXX15964268,1.0,70.0
XXX15977,2.0,9.05
XXX15A1590EUR,2.0,22.6
XXX16,12.0,2.56
XXX16000,1.0,3.5
XXX16000002,2.0,9.460856
XXX16090,1.0,10.167888
XXX16104,1.0,3.94
XXX1610711,1.0,55.34
XXX16109,2.0,2.25
XXX16113,4.0,3.06
XXX16114,9.0,2.07
XXX16115,3.0,1.58
XXX16116,9.0,1.374601
XXX16117,6.0,2.22
XXX16118,4.0,1.922112
XXX16123,16.0,1.52
XXX16124,4.0,4.1
XXX16125,3.0,3.47
XXX16127,4.0,2.81
XXX16129,21.0,2.306535
XXX16144,7.0,2.68
XXX16146,1.0,2.97
XXX16147,3.0,1.351303
XXX16151,12.0,1.9
XXX16153,1.0,3.0
XXX16158,2.0,3.93
XXX16165,1.0,3.29
XXX16185,1.0,4.81
XXX16193,2.0,2.93
XXX16203,1.0,1.61
XXX16216,1.0,4.5
XXX16218,4.0,2.36
XXX16228,4.0,1.86
XXX16230,2.0,1.747375
XXX1623ACH,1.0,24.02
XXX16253K,2.0,2.86
XXX1634210174,1.0,6.02
XXX16431,3.0,2.55
XXX164483574599,1.0,70.71
XXX164512651690,1.0,66.56
XXX165,8.0,5.84
XXX16525,2.0,1.86
XXX1672,2.0,8.97
XXX1677B,3.0,1.15
XXX168,43.0,0.24
XXX168661,1.0,207.13
XXX17,11.0,2.32
XXX171119L,1.0,46.04
XXX171119R,1.0,46.04
XXX171128SET,1.0,149.11
XXX1711334,1.0,2.93
XXX171698471B,1.0,12.27
XXX171698471EUR,6.0,6.72
XXX172292,2.0,59.16
XXX172292SET,1.0,151.982486
XXX172401,1.0,91.99
XXX17386,1.0,10.0
XXX17401,17.0,8.56
XXX174166,1.0,15.12
XXX174821718018,1.0,28.28
XXX175214590966,1.0,20.08
XXX177123,3.0,3.17
XXX17D154MH,1.0,43.85
XXX18,15.0,2.06
XXX18012,1.0,215.17
XXX18029828,1.0,12.08
XXX18044,1.0,198.54
XXX18053,1.0,59.87
XXX18062,1.0,300.0
XXX1808202,1.0,4.27
XXX18136,1.0,5.19
XXX18220,1.0,8.14
XXX18375,2.0,53.07
XXX184321456941,5.0,86.93
XXX184354172298,1.0,110.14
XXX184510,1.0,64.26
XXX184552724038,1.0,108.89
XXX184730,2.0,51.02
XXX184731,2.0,51.02
XXX184752,2.0,34.93931
XXX184894,2.0,45.701672
XXX184918,1.0,52.67
XXX185296,1.0,41.38
XXX185297,1.0,41.22
XXX185462275786,1.0,146.21
XXX186029218220,1.0,28.39
XXX18718,3.0,11.29
XXX1880986,1.0,23.08
XXX18816,41.0,0.24
XXX18899487SET,1.0,5.729019
XXX18942EUR,1.0,20.73
XXX18B4764,1.0,54.35
XXX18B4765,2.0,54.585245
XXX18B4805,1.0,42.579987
XXX18B5399,2.0,122.68
XXX18P2113,1.0,13.81
XXX18P392,1.0,24.33025
XXX18P394,1.0,23.872915
XXX19,11.0,2.06
XXX19-164687EUR,1.0,70.97
XXX19027875,2.0,3.322
XXX19115561,3.0,1.89
XXX19121656,1.0,0.0
XXX19132802,1.0,10.41
XXX19149234,1.0,391.6
XXX19169124,2.0,6.07
XXX1918178,1.0,10.14
XXX19205N,1.0,121.18
XXX19244893,1.0,71.5
XXX1925000400EUR,1.0,36.48
XXX19256702,1.0,104.3532
XXX19257296,2.0,5.24
XXX19258696,2.0,54.23
XXX19300488,4.0,36.41
XXX19301783,1.0,11.62
XXX19303965,1.0,13.53
XXX19320092,1.0,68.91
XXX19325587,1.0,2.58
XXX19331709,1.0,113.86
XXX19338051,1.0,17.13
XXX193908,4.0,15.51
XXX194,47.0,0.04
XXX194WHP,2.0,6.5
XXX195361845714,3.0,155.7
XXX195694733296,1.0,88.01
XXX19663EUR,1.0,46.37
XXX19705AF,1.0,104.66
XXX198016,1.0,121.1
XXX1987947826,1.0,3.53
XXX199500,1.0,12.96
XXX19984,2.0,0.6
XXX1AR26BD1AA,6.0,6.16
XXX1EW63SZ0AA,2.0,8.51
XXX1J0498103KEUR,2.0,36.52
XXX1J0615106DEUR,1.0,79.71
XXX1L,13.0,0.99
XXX1L-V,1.0,1.42
XXX1PF101DVAA,2.0,25.685533
XXX1R1061,2.0,1.01
XXX1S2496,1.0,43.0
XXX1S5170,1.0,58.07
XXX1S5287,1.0,23.63
XXX1S7902,1.0,17.27
XXX1T1116,1.0,5.99
XXX1TM86HL1AA,1.0,21.44668
XXX1TM86HL9AA,1.0,22.046465
XXX1TM88HL9AA,1.0,23.644492
XXX1ZP86JXWAA,1.0,7.36
XXX2/31254,2.0,34.521306
XXX2/AFO1066,2.0,61.672361
XXX2/IMD215,1.0,7.355254
XXX2/TK620210,1.0,134.221935
XXX2/TK620211,1.0,134.221935
XXX20,19.0,1.32
XXX20-00-001,5.0,2.510899
XXX20-00-008,4.0,2.628224
XXX20-09-909,7.0,2.2
XXX20-09-910,12.0,2.36
XXX20-09-912,3.0,3.27
XXX20-09-929,7.0,2.83
XXX20-09-975,4.0,2.03
XXX20-1001,8.0,51.13
XXX20-1001P,1.0,39.58
XXX20-1012,2.0,30.89
XXX20-1039,15.0,41.2386
XXX20-2401,5.0,41.4155
XXX20-266,10.0,41.9459
XXX20-267,4.0,46.7005
XXX20-269,1.0,32.72
XXX20-291,1.0,68.07
XXX20-38606,3.0,39.68
XXX20-608,2.0,28.16
XXX20-62608,3.0,47.8793
XXX20-62608P,8.0,47.8793
XXX20-64610,2.0,31.79
XXX20-65990Z,4.0,32.62
XXX20-7953,2.0,47.9382
XXX20-823,3.0,35.6
XXX20-860,4.0,41.79
XXX20-906,2.0,37.03
XXX20013,19.0,1.0
XXX20020,7.0,2.2
XXX20030,9.0,1.15
XXX200845600119,1.0,74.25
XXX201,2.0,22.37
XXX201026,1.0,55.9
XXX202205,1.0,71.55
XXX20220C,1.0,85.0
XXX20226146,1.0,109.6
XXX20269,1.0,32.72
XXX202967073853,1.0,66.46
XXX2038,4.0,10.93
XXX203951872094,1.0,85.938884
XXX2039771,1.0,33.66
XXX20400,1.0,49.78
XXX204072378844,1.0,590.84
XXX20414XC00BEUR,2.0,7.163212
XXX2043,2.0,0.83
XXX20607,1.0,120.0
XXX206886,1.0,61.82
XXX20756714,8.0,47.9382
XXX20771,1.0,110.0
XXX207828,3.0,45.5413
XXX2081,1.0,1.42
XXX20810972,2.0,14.55
XXX20842472,2.0,103.5
XXX208739,4.0,47.9382
XXX208759,5.0,45.0403
XXX209025,1.0,5.64
XXX209026,1.0,5.63
XXX20915,2.0,12.41
XXX2091EH1,42.0,3.45
XXX2091EH4,105.0,3.3
XXX20927844EUR,1.0,6.0
XXX20955857,4.0,15.74
XXX20968395,2.0,17.288588
XXX20971878,1.0,54.15
XXX20983936,1.0,3.77
XXX21,12.0,1.38
XXX21-4045R,4.0,48.4687
XXX21-5173,5.0,38.4193
XXX21-5191,2.0,38.4193
XXX21-5223,6.0,40.1875
XXX21-5247,1.0,32.4
XXX21-5279P,5.0,42.2996
XXX21-5305,12.0,38.4193
XXX21-5438RP,4.0,51.1112
XXX21-5439,2.0,84.32
XXX21-5439P,10.0,41.4155
XXX21-CH-CH1,5.0,1.435259
XXX21-CH-CH2,2.0,7.61
XXX21-JE-JE4,4.0,1.47
XXX21/5W,6.0,0.21
XXX210-1309,2.0,8.96
XXX210104,4.0,2.14
XXX210134EUR,1.0,5.02
XXX2105389AA,1.0,26.37
XXX2111120,2.0,11.44
XXX2111123,2.0,12.05
XXX21123,1.0,4.1
XXX21241,3.0,4.24
XXX21257A,2.0,12.1
XXX21261,2.0,9.35
XXX21337,1.0,33.049965
XXX2141105,1.0,35.55
XXX2146,57.0,1.01
XXX2151003,1.0,4.0
XXX2153137500015,2.0,7.869553
XXX215343,3.0,36.6609
XXX215410,2.0,38.4193
XXX215429,1.0,89.94
XXX21556,5.0,15.34
XXX215712EUR,1.0,91.0
XXX21615,1.0,13.13
XXX2194920080,1.0,21.02
XXX21995,1.0,12.55
XXX22,16.0,2.54
XXX2201180,1.0,8.0
XXX2201969,1.0,18.18
XXX2202923,1.0,11.65
XXX2204721,1.0,11.65
XXX22059,1.0,54.81
XXX22064723SET,1.0,344.87
XXX22080,1.0,16.66
XXX2211427000EUR,8.0,3.19
XXX22115G,1.0,39.89
XXX221165,2.0,364.25
XXX22116G,1.0,40.02
XXX22117935144EUR,1.0,84.01
XXX221207,1.0,0.98
XXX22151,2.0,29.09
XXX22160,1.0,42.38516
XXX22164,1.0,37.39
XXX22168,2.0,31.8
XXX22170,2.0,26.57
XXX2217004,1.0,88.46
XXX222025,1.0,1.22
XXX22227,3.0,12.08
XXX2223,8.0,1.72
XXX2224SR46,1.0,22.78
XXX223012,1.0,7.93
XXX22301B01K,5.0,16.13
XXX223240,2.0,5.0
XXX223253,3.0,1.63
XXX223255,2.0,0.82
XXX223750,5.0,0.82
XXX223830,3.0,0.69
XXX223840,1.0,0.75
XXX224200,2.0,3.0
XXX22421,1.0,8.67
XXX2242694.04,8.0,20.1
XXX22433,1.0,14.15
XXX2243543,16.0,17.691065
XXX2243543WR,8.0,25.112371
XXX2243543WR.03,16.0,21.264292
XXX2243543WR.040,8.0,27.734914
XXX22443469,1.0,38.38
XXX22443634,1.0,40.0
XXX22443695EUR,1.0,45.0
XXX224640611563,1.0,106.201209
XXX22484,1.0,15.97
XXX225005,1.0,0.78
XXX225070821828,1.0,140.896231
XXX225128562907,22.0,174.96
XXX22542,1.0,11.95
XXX2254S0038,4.0,1.444182
XXX22625,5.0,12.685635
XXX22626,2.0,8.49
XXX22630,1.0,7.97
XXX22688449,1.0,9.21
XXX22718,1.0,5.17
XXX22744069,1.0,81.99
XXX22810753,1.0,22.121605
XXX22813724,1.0,110.25
XXX22826181,1.0,3.91
XXX2286,1.0,5.4
XXX22876132,1.0,168.53
XXX22896,1.0,11.81
XXX22900,1.0,5.55
XXX22909882,1.0,18.51
XXX22940,1.0,9.46
XXX22999283,1.0,24.410399
XXX22W,2.0,6.95
XXX23000,3.0,9.77
XXX23068,1.0,5.42
XXX2312425000,1.0,16.13
XXX23166827,1.0,88.12
XXX23169182,3.0,9.22
XXX2324,1.0,139.89
XXX23247709,3.0,406.96
XXX23283,1.0,11.63
XXX234-4079,1.0,24.0
XXX234-415,1.0,29.65
XXX23428268SET,1.0,50.75
XXX2344006,2.0,45.22
XXX2344127,2.0,19.17
XXX2344210,1.0,24.54
XXX2344274,1.0,27.76
XXX2344410,2.0,43.06
XXX2344547,2.0,15.78
XXX2344593,5.0,15.78
XXX2344634,2.0,39.66
XXX2344646,1.0,60.24
XXX2344668,3.0,34.52
